,Object name,Astrometric RA (hh:mm:ss),"Astrometric Dec (dd mm'ss"")","Dist. from center RA ("")","Dist. from center Dec ("")","Dist. from center Norm ("")",Visual magnitude (V),"RA rate (""/h)","Dec rate (""/h)",ra,dec,V_mag,name_x,id_x,Absolute magntiude (H),Magnitude slope (G),Eccentricity,Perihelion (au),Time of perihelion passage (JD),Longitude of ascending node (deg),Argument of perihelion (deg),Inclination (deg),Epoch (JD),H_mag,name_y,id_y
6058,540307 (2017 RR81),17:48:49.84,-29:34:49.0,-734.,-2.E3,2571.,22.9,24.06,-5.409,267.2076666666666,-29.580277777777777,22.9,540307,2017 RR81,16.84,0.15,0.172151728,2.576924,2460107.40290,344.42172,35.343755,5.8593078,2460600.5,16.84,540307,2017 RR81
6059,547580 (2010 TX131),17:48:19.35,-28:26:04.7,-1.E3,2.E3,2012.,23.0,31.86,-4.192,267.080625,-28.434638888888887,23.0,547580,2010 TX131,17.62,0.15,0.037213377,2.6251797,2460516.35077,314.12305,82.779211,5.0187633,2460600.5,17.62,547580,2010 TX131
6060,547850 (2010 WO7),17:48:45.40,-27:27:52.8,-793.,5.E3,5213.,23.3,22.68,-8.755,267.1891666666666,-27.464666666666666,23.3,547850,2010 WO7,17.37,0.15,0.17998544,2.2843831,2460749.91040,51.481057,35.905364,12.059652,2460600.5,17.37,547850,2010 WO7
6061,554431 (2012 TD265),17:48:54.45,-29:54:53.0,-674.,-4.E3,3730.,22.7,23.25,-9.834,267.226875,-29.91472222222222,22.7,554431,2012 TD265,16.60,0.15,0.080326202,2.8789775,2460450.73110,40.235037,27.182271,12.134956,2460600.5,16.60,554431,2012 TD265
6062,563391 (2016 CA200),17:48:18.24,-29:40:57.4,-1.E3,-3.E3,3056.,22.5,32.76,-5.81,267.076,-29.68261111111111,22.5,563391,2016 CA200,17.17,0.15,0.038032788,2.7619482,2460011.99560,329.39943,342.74846,5.8391775,2460600.5,17.17,563391,2016 CA200
6063,572559 (2008 RG77),17:49:26.30,-27:28:31.9,-256.,5.E3,5119.,23.6,30.9,-7.217,267.35958333333326,-27.475527777777778,23.6,572559,2008 RG77,18.43,0.15,0.208344381,1.7625313,2460866.35259,26.013713,37.792680,5.7963808,2460600.5,18.43,572559,2008 RG77
6064,576575 (2012 TO148),17:49:26.99,-27:40:37.0,-246.,4.E3,4394.,22.6,23.74,-1.278,267.36245833333334,-27.676944444444445,22.6,576575,2012 TO148,16.64,0.15,0.116455537,2.795508,2460870.63409,283.08698,207.15026,7.3613007,2460600.5,16.64,576575,2012 TO148
6065,594976 (2000 FL74),17:49:37.12,-27:52:04.7,-113.,4.E3,3701.,22.4,60.35,-9.661,267.4046666666666,-27.86797222222222,22.4,594976,2000 FL74,18.35,0.15,0.214350173,1.9115537,2460222.96260,7.3670060,280.80556,4.8932384,2460600.5,18.35,594976,2000 FL74
6066,613359 (2006 BY263),17:50:11.81,-28:14:51.5,342.,2.E3,2358.,22.7,44.13,-7.973,267.5492083333333,-28.24763888888889,22.7,613359,2006 BY263,18.15,0.15,0.153625609,2.1591738,2461324.01483,0.24425002,190.38058,4.8712019,2460600.5,18.15,613359,2006 BY263
6067,620196 (2001 RO46),17:50:16.15,-29:55:09.3,399.,-4.E3,3706.,22.6,49.99,-13.09,267.5672916666666,-29.91925,22.6,620196,2001 RO46,18.08,0.15,0.326319083,1.6236703,2460355.36900,21.114702,321.31248,8.8084434,2460600.5,18.08,620196,2001 RO46
6068,621213 (2007 YF86),17:49:38.74,-30:04:35.8,-92.2,-4.E3,4253.,22.9,31.26,-1.498,267.41141666666664,-30.07661111111111,22.9,621213,2007 YF86,17.53,0.15,0.082722892,2.4377997,2460505.45544,281.54889,108.29313,10.800846,2460600.5,17.53,621213,2007 YF86
6069,621792 (2010 TQ171),17:49:24.99,-28:52:16.2,-273.,88.0,286.7,22.9,31.32,-10.22,267.35412499999995,-28.871166666666667,22.9,621792,2010 TQ171,17.42,0.15,0.158511235,2.2857,2460323.63540,37.383159,331.19421,10.053275,2460600.5,17.42,621792,2010 TQ171
6070,622153 (2012 SE3),17:48:31.55,-30:34:54.0,-975.,-6.E3,6146.,22.6,44.64,1.434,267.13145833333334,-30.581666666666667,22.6,622153,2012 SE3,18.01,0.15,0.171734175,2.0289633,2460342.54160,269.95740,57.589240,13.592156,2460600.5,18.01,622153,2012 SE3
6071,626201 (2006 YV44),17:49:01.47,-30:21:52.0,-582.,-5.E3,5319.,23.8,22.89,-4.697,267.25612499999994,-30.364444444444445,23.8,626201,2006 YV44,17.91,0.15,0.196833028,2.2187636,2460801.73405,314.84886,137.90066,7.2159652,2460600.5,17.91,626201,2006 YV44
6072,626613 (2007 TA447),17:48:39.08,-27:39:46.9,-876.,4.E3,4524.,23.6,18.23,-6.709,267.1628333333333,-27.663027777777778,23.6,626613,2007 TA447,17.05,0.15,0.223961668,2.3938064,2460450.77730,49.728031,17.447662,10.554577,2460600.5,17.05,626613,2007 TA447
6073,627766 (2010 UR115),17:49:36.58,-27:10:12.0,-121.,6.E3,6213.,23.5,29.95,0.321,267.4024166666666,-27.17,23.5,627766,2010 UR115,17.98,0.15,0.142038628,2.340724,2460369.94430,270.01793,107.08883,9.1769292,2460600.5,17.98,627766,2010 UR115
6074,629174 (2000 EW210),17:48:55.15,-30:20:57.7,-665.,-5.E3,5275.,22.5,25.73,-9.271,267.22979166666664,-30.34936111111111,22.5,629174,2000 EW210,16.60,0.15,0.063699257,2.8262861,2460455.98130,26.718248,31.183361,9.5887741,2460600.5,16.60,629174,2000 EW210
6075,629831 (2004 AM21),17:48:36.16,-30:42:56.7,-914.,-7.E3,6615.,22.1,24.76,-3.576,267.1506666666666,-30.71575,22.1,629831,2004 AM21,16.11,0.15,0.1148017,2.6688361,2460297.41480,298.66831,95.273529,9.1129987,2460600.5,16.11,629831,2004 AM21
6076,631588 (2007 RU135),17:48:18.38,-27:48:21.6,-1.E3,4.E3,4089.,22.0,29.13,-0.576,267.0765833333333,-27.806,22.0,631588,2007 RU135,16.46,0.15,0.014493003,2.9420302,2461022.06120,276.48561,240.99689,8.4862625,2460600.5,16.46,631588,2007 RU135
6077,638135 (2015 TJ260),17:50:56.99,-26:59:47.4,935.,7.E3,6902.,22.4,36.19,-7.851,267.7374583333333,-26.9965,22.4,638135,2015 TJ260,17.20,0.15,0.168913885,2.1949829,2460296.84180,37.024726,315.69234,6.7028344,2460600.5,17.20,638135,2015 TJ260
6078,645666 (2007 TY508),17:49:18.19,-29:23:14.5,-362.,-2.E3,1807.,23.4,26.09,-5.86,267.32579166666665,-29.38736111111111,23.4,645666,2007 TY508,17.51,0.15,0.113960039,2.694115,2460185.48040,351.93582,26.853512,5.7626478,2460600.5,17.51,645666,2007 TY508
6079,651844 (2013 HC29),17:49:35.11,-27:49:46.6,-140.,4.E3,3840.,22.5,32.86,-1.14,267.3962916666666,-27.82961111111111,22.5,651844,2013 HC29,17.18,0.15,0.0242334,2.6435416,2460521.99175,279.82369,115.38176,7.3897385,2460600.5,17.18,651844,2013 HC29
6080,659051 (2018 RO26),17:49:23.84,-28:23:39.6,-288.,2.E3,1828.,22.4,33.66,-3.563,267.34933333333333,-28.394333333333332,22.4,659051,2018 RO26,17.03,0.15,0.060946407,2.6950678,2460022.81520,305.53007,11.129435,5.3706031,2460600.5,17.03,659051,2018 RO26
6081,674652 (2015 RL89),17:49:48.22,-28:02:03.1,32.3,3.E3,3101.,22.2,33.68,4.593,267.4509166666666,-28.034194444444445,22.2,674652,2015 RL89,17.01,0.15,0.166007914,2.1863948,2460341.56200,260.41346,98.068480,16.886104,2460600.5,17.01,674652,2015 RL89
6082,699299 (2019 LT27),17:48:45.89,-29:03:19.2,-786.,-575.,973.6,23.2,46.96,10.75,267.19120833333335,-29.055333333333333,23.2,699299,2019 LT27,19.19,0.15,0.072121354,1.7731616,2460134.04050,252.04398,196.76511,19.263066,2460600.5,19.19,699299,2019 LT27
6083,703852 (2007 VJ123),17:49:34.88,-30:36:30.8,-143.,-6.E3,6168.,23.1,33.86,-11.6,267.39533333333327,-30.608555555555558,23.1,703852,2007 VJ123,17.92,0.15,0.104291244,2.3212568,2460449.15920,24.885033,347.36488,9.9793086,2460600.5,17.92,703852,2007 VJ123
6084,704080 (2007 YL82),17:48:13.62,-30:27:11.7,-1.E3,-6.E3,5735.,22.0,51.2,-5.617,267.05675,-30.45325,22.0,704080,2007 YL82,17.95,0.15,0.190141126,1.9187276,2460024.77030,303.11038,245.24991,6.6598923,2460600.5,17.95,704080,2007 YL82
6085,709686 (2013 EJ22),17:48:36.87,-29:12:49.3,-905.,-1.E3,1458.,22.4,34.64,-6.356,267.153625,-29.213694444444442,22.4,709686,2013 EJ22,17.22,0.15,0.085340438,2.4303901,2460341.92980,340.39349,14.964987,5.3444841,2460600.5,17.22,709686,2013 EJ22
6086,712000 (2014 QW505),17:49:24.01,-29:30:05.0,-286.,-2.E3,2199.,24.0,32.26,-5.411,267.35004166666664,-29.50138888888889,24.0,712000,2014 QW505,18.84,0.15,0.172653498,1.8767889,2460836.67152,318.39032,102.25899,5.843742,2460600.5,18.84,712000,2014 QW505
6087,715445 (2015 VT89),17:50:04.47,-27:30:47.9,246.,5.E3,4982.,23.7,37.76,-4.709,267.51862499999993,-27.513305555555554,23.7,715445,2015 VT89,18.90,0.15,0.135636236,1.872233,2460848.96119,324.81056,86.323934,3.7420684,2460600.5,18.90,715445,2015 VT89
6088,723658 (2007 DW128),17:49:10.27,-28:07:51.9,-466.,3.E3,2792.,23.7,28.3,-4.39,267.29279166666663,-28.131083333333333,23.7,723658,2007 DW128,18.26,0.15,0.191850574,1.9568846,2460763.29511,323.50348,97.924669,4.5086315,2460600.5,18.26,723658,2007 DW128
6089,724580 (2008 CE233),17:49:44.23,-28:09:48.4,-20.1,3.E3,2636.,22.6,49.08,-9.037,267.43429166666664,-28.163444444444444,22.6,724580,2008 CE233,18.36,0.15,0.146746627,2.0274804,2460010.61060,3.7116223,188.01861,4.9787125,2460600.5,18.36,724580,2008 CE233
6090,724767 (2008 GN157),17:49:29.14,-30:15:08.6,-218.,-5.E3,4889.,23.1,25.56,-8.489,267.3714166666667,-30.252388888888888,23.1,724767,2008 GN157,17.33,0.15,0.18485287,2.2156512,2460512.20589,19.841424,25.608380,8.4475135,2460600.5,17.33,724767,2008 GN157
6091,730536 (2012 JT40),17:49:41.97,-27:33:26.0,-49.8,5.E3,4818.,22.3,45.59,-4.123,267.424875,-27.557222222222222,22.3,730536,2012 JT40,17.89,0.15,0.134212652,2.0715611,2459955.38200,307.77965,233.35554,3.9558997,2460600.5,17.89,730536,2012 JT40
6092,742092 (2007 BE88),17:49:50.56,-27:59:20.6,63.0,3.E3,3264.,23.0,43.82,-4.918,267.4606666666666,-27.989055555555556,23.0,742092,2007 BE88,18.33,0.15,0.162628936,2.0111592,2460425.10920,319.68085,21.739880,4.2181749,2460600.5,18.33,742092,2007 BE88
6093,745189 (2010 UQ13),17:49:50.34,-27:02:53.2,60.1,7.E3,6651.,23.9,36.2,-7.621,267.45974999999993,-27.048111111111112,23.9,745189,2010 UQ13,18.89,0.15,0.246174106,1.7421203,2460588.37573,32.106327,345.56986,6.0448003,2460600.5,18.89,745189,2010 UQ13
6094,750332 (2014 TS42),17:49:18.54,-28:14:33.5,-357.,2.E3,2378.,22.2,38.67,-11.29,267.32725,-28.24263888888889,22.2,750332,2014 TS42,17.18,0.15,0.201862642,2.2051441,2460108.64210,38.758654,294.17415,9.7988628,2460600.5,17.18,750332,2014 TS42
6095,754384 (2016 PU108),17:48:57.17,-29:34:54.0,-638.,-2.E3,2550.,23.2,41.34,-10.97,267.2382083333333,-29.581666666666667,23.2,754384,2016 PU108,18.39,0.15,0.1089843,2.1687207,2460427.45070,17.876704,324.16025,7.7573323,2460600.5,18.39,754384,2016 PU108
6096,754787 (2016 UF28),17:49:24.30,-29:28:58.2,-282.,-2.E3,2133.,23.1,30.1,-2.139,267.35125,-29.482833333333332,23.1,754787,2016 UF28,17.72,0.15,0.116210065,2.226199,2460763.40090,284.91881,143.52180,9.0694511,2460600.5,17.72,754787,2016 UF28
6097,755536 (2017 FU34),17:48:48.72,-30:31:50.6,-749.,-6.E3,5933.,22.2,36.5,-1.596,267.20300000000003,-30.53072222222222,22.2,755536,2017 FU34,17.12,0.15,0.05553045,2.5917711,2461416.67726,282.62862,305.71970,10.550094,2460600.5,17.12,755536,2017 FU34
6098,(2002 TF342),17:48:19.29,-29:10:54.4,-1.E3,-1.E3,1532.,21.9,60.01,-21.77,267.080375,-29.18177777777778,21.9,,2002 TF342,17.88,0.15,0.255504891,1.957975,2460024.63240,37.540234,239.85172,13.660276,2460600.5,17.88,,2002 TF342
6099,(2003 SN380),17:48:27.52,-27:35:02.1,-1.E3,5.E3,4834.,23.2,25.98,-6.246,267.11466666666666,-27.583916666666667,23.2,,2003 SN380,17.37,0.15,0.078782636,2.7067782,2460518.43926,27.877924,33.474051,5.9297641,2460600.5,17.37,,2003 SN380
6100,(2005 QS210),17:48:19.06,-27:55:49.5,-1.E3,3.E3,3658.,23.0,37.8,-5.641,267.07941666666665,-27.93041666666667,23.0,,2005 QS210,17.81,0.15,0.183413673,2.5753096,2459629.64640,346.89311,306.48747,4.2221113,2460600.5,17.81,,2005 QS210
6101,(2005 TL216),17:51:10.72,-28:45:40.2,1.E3,484.,1217.,22.7,61.78,-8.463,267.79466666666667,-28.761166666666668,22.7,,2005 TL216,18.71,0.15,0.217577483,1.8822334,2460248.17270,344.66295,305.22739,4.768932,2460600.5,18.71,,2005 TL216
6102,(2006 UA130),17:49:30.97,-28:13:31.9,-194.,2.E3,2420.,24.5,32.66,-7.826,267.37904166666664,-28.225527777777778,24.5,,2006 UA130,19.31,0.15,0.172439331,1.9563045,2460681.10415,20.947577,17.831670,6.2272058,2460600.5,19.31,,2006 UA130
6103,(2006 WU90),17:48:48.38,-28:35:22.7,-754.,1.E3,1335.,24.1,29.57,-4.859,267.2015833333333,-28.58963888888889,24.1,,2006 WU90,18.60,0.15,0.144138492,2.3097989,2460424.90690,329.78739,54.557750,4.8638986,2460600.5,18.60,,2006 WU90
6104,(2007 XT65),17:50:36.15,-30:28:27.5,662.,-6.E3,5721.,23.3,41.76,-11.41,267.65062499999993,-30.474305555555553,23.3,,2007 XT65,18.59,0.15,0.112211112,2.0325847,2460605.25259,11.534460,353.56594,8.0669833,2460600.5,18.59,,2007 XT65
6105,(2008 ON33),17:48:59.37,-27:55:44.7,-609.,3.E3,3533.,23.7,62.61,-6.722,267.247375,-27.929083333333335,23.7,,2008 ON33,19.76,0.15,0.221281195,1.6878423,2460496.11260,327.45884,348.76678,3.8299503,2460600.5,19.76,,2008 ON33
6106,(2008 SX79),17:48:30.23,-28:01:44.1,-992.,3.E3,3275.,22.6,61.06,-7.837,267.1259583333333,-28.028916666666667,22.6,,2008 SX79,18.77,0.15,0.13291126,1.8964121,2460405.49600,339.70592,297.78696,3.9971581,2460600.5,18.77,,2008 SX79
6107,(2009 CS79),17:48:57.65,-28:04:21.9,-632.,3.E3,3029.,23.6,30.26,-6.574,267.2402083333333,-28.07275,23.6,,2009 CS79,18.40,0.15,0.207743486,2.0948118,2461113.77264,5.6800573,131.97032,4.9254996,2460600.5,18.40,,2009 CS79
6108,(2009 SS54),17:51:14.66,-27:32:10.1,1.E3,5.E3,5033.,23.2,93.42,-7.973,267.81108333333333,-27.53613888888889,23.2,,2009 SS54,19.90,0.15,0.4556472,1.4894582,2459929.13694,336.87923,312.14054,3.36542,2459400.5,19.90,,2009 SS54
6109,(2010 AG14),17:48:41.58,-27:45:43.1,-843.,4.E3,4168.,22.3,50.6,-3.489,267.17325,-27.761972222222223,22.3,,2010 AG14,18.18,0.15,0.260140645,1.8915949,2459865.78800,296.11202,251.84017,4.4161697,2460600.5,18.18,,2010 AG14
6110,(2010 EM173),17:49:42.44,-28:56:50.6,-43.6,-186.,191.4,22.4,53.09,-12.89,267.4268333333333,-28.947388888888888,22.4,,2010 EM173,18.08,0.15,0.18878826,2.0724673,2460131.24170,23.061086,266.09825,7.9135507,2460600.5,18.08,,2010 EM173
6111,(2010 HS139),17:49:26.86,-28:01:30.6,-248.,3.E3,3143.,22.2,69.84,-24.74,267.3619166666667,-28.025166666666667,22.2,,2010 HS139,18.41,0.15,0.308511871,1.7971776,2460040.48780,40.964448,234.89427,14.372761,2460600.5,18.41,,2010 HS139
6112,(2010 TQ23),17:48:18.76,-28:03:48.8,-1.E3,3.E3,3208.,23.2,38.81,-8.858,267.0781666666667,-28.063555555555556,23.2,,2010 TQ23,18.18,0.15,0.159400418,2.2673563,2460172.18890,24.839087,306.00559,6.5697641,2460600.5,18.18,,2010 TQ23
6113,(2010 VW231),17:49:03.38,-29:09:42.9,-556.,-959.,1108.,23.4,32.12,0.4171,267.2640833333333,-29.161916666666666,23.4,,2010 VW231,18.23,0.15,0.168926604,1.958686,2460689.80511,270.60354,128.14858,12.464044,2460600.5,18.23,,2010 VW231
6114,(2011 FU97),17:48:13.60,-28:30:09.0,-1.E3,1.E3,1864.,24.0,29.81,-5.675,267.0566666666667,-28.5025,24.0,,2011 FU97,18.83,0.15,0.178877592,2.0053105,2461014.61772,339.38704,129.75439,4.6870499,2460600.5,18.83,,2011 FU97
6115,(2011 RE3),17:48:40.90,-30:32:25.9,-852.,-6.E3,5982.,22.8,47.77,-5.992,267.17041666666665,-30.54052777777778,22.8,,2011 RE3,18.19,0.15,0.193276075,2.0746127,2460191.03140,310.37769,2.2033721,6.822664,2460600.5,18.19,,2011 RE3
6116,(2012 BA146),17:48:20.90,-27:02:55.2,-1.E3,7.E3,6743.,24.1,31.88,-1.967,267.0870833333333,-27.04866666666667,24.1,,2012 BA146,19.02,0.15,0.158115207,1.9298364,2460894.96926,283.61165,150.92134,5.3520454,2460600.5,19.02,,2012 BA146
6117,(2013 AK204),17:50:12.83,-27:48:43.7,355.,4.E3,3917.,23.5,42.06,-4.956,267.55345833333325,-27.81213888888889,23.5,,2013 AK204,18.95,0.15,0.057215998,2.0641044,2460943.71906,320.63349,115.54204,3.9980935,2460600.5,18.95,,2013 AK204
6118,(2013 GH116),17:50:25.37,-28:06:52.1,520.,3.E3,2860.,22.4,38.96,-16.63,267.60570833333327,-28.114472222222222,22.4,,2013 GH116,17.60,0.15,0.125495546,2.3713855,2461324.09132,48.118739,151.87637,15.210482,2460600.5,17.60,,2013 GH116
6119,(2013 GQ165),17:49:25.94,-29:01:52.5,-260.,-488.,553.2,23.2,52.84,-10.04,267.3580833333333,-29.03125,23.2,,2013 GQ165,19.22,0.15,0.148437236,1.9406946,2460108.81450,355.34812,197.66840,5.4110588,2460600.5,19.22,,2013 GQ165
6120,(2013 HL86),17:50:08.36,-28:47:39.1,297.,365.,470.7,23.6,45.28,-10.01,267.53483333333327,-28.794194444444447,23.6,,2013 HL86,18.96,0.15,0.136899841,2.3573826,2459880.12750,16.017991,240.32682,6.5714737,2460600.5,18.96,,2013 HL86
6121,(2013 HG137),17:48:18.84,-29:35:09.8,-1.E3,-2.E3,2734.,24.3,46.27,-12.87,267.07849999999996,-29.586055555555554,24.3,,2013 HG137,19.71,0.15,0.154102266,2.309173,2456583.47738,22.455253,233.91932,8.5661407,2456395.5,19.71,,2013 HG137
6122,(2013 PU71),17:49:25.75,-26:58:41.5,-263.,7.E3,6908.,23.6,46.66,-4.16,267.3572916666666,-26.978194444444444,23.6,,2013 PU71,19.05,0.15,0.248585446,1.7481313,2460461.46260,313.62760,33.170216,3.3444824,2460600.5,19.05,,2013 PU71
6123,(2013 RU193),17:48:28.89,-28:45:28.0,-1.E3,496.,1126.,24.0,43.34,-9.64,267.12037499999997,-28.75777777777778,24.0,,2013 RU193,19.27,0.15,0.185431055,1.9168391,2460475.86640,14.180961,334.68339,6.3678513,2460600.5,19.27,,2013 RU193
6124,(2013 UM33),17:48:34.13,-28:23:52.8,-941.,2.E3,2024.,23.2,26.04,-2.869,267.1422083333333,-28.398,23.2,,2013 UM33,17.35,0.15,0.095731541,2.7155726,2460277.06000,299.05054,88.912090,6.1348076,2460600.5,17.35,,2013 UM33
6125,(2013 VE76),17:49:44.21,-27:45:05.1,-20.3,4.E3,4119.,24.7,27.35,-5.67,267.4342083333333,-27.751416666666668,24.7,,2013 VE76,19.24,0.15,0.197247414,1.9699805,2460911.46425,5.2979600,85.270584,4.5481739,2460600.5,19.24,,2013 VE76
6126,(2014 CJ31),17:48:33.46,-27:58:54.8,-949.,3.E3,3425.,23.6,19.66,-7.028,267.13941666666665,-27.981888888888886,23.6,,2014 CJ31,17.25,0.15,0.17073007,2.6529091,2460706.74515,44.867132,60.687518,9.6484282,2460600.5,17.25,,2014 CJ31
6127,(2014 DJ159),17:49:21.18,-28:24:02.2,-323.,2.E3,1811.,22.4,56.39,-10.85,267.33824999999996,-28.40061111111111,22.4,,2014 DJ159,18.35,0.15,0.233110782,2.0067362,2459893.22770,9.1211438,212.67753,5.6390107,2460600.5,18.35,,2014 DJ159
6128,(2014 HC17),17:48:45.15,-27:17:30.6,-796.,6.E3,5829.,22.9,43.33,-8.07,267.188125,-27.291833333333336,22.9,,2014 HC17,18.18,0.15,0.086327583,2.3751891,2459998.68080,19.577290,236.40852,5.0507945,2460600.5,18.18,,2014 HC17
6129,(2014 HC464),17:50:10.98,-30:15:35.6,331.,-5.E3,4922.,24.2,57.24,-14.09,267.54575,-30.259888888888888,24.2,,2014 HC464,20.02,0.15,0.263121696,1.597718,2460533.39313,13.299192,323.03025,8.2317409,2460600.5,20.02,,2014 HC464
6130,(2014 HW489),17:50:11.90,-28:15:46.2,343.,2.E3,2304.,22.8,51.36,-5.245,267.5495833333333,-28.262833333333333,22.8,,2014 HW489,18.43,0.15,0.167818562,2.179547,2456864.90601,318.53072,291.73398,4.3586717,2456776.5,18.43,,2014 HW489
6131,(2014 KA20),17:48:26.10,-27:27:11.8,-1.E3,5.E3,5298.,23.0,46.38,-16.51,267.10875,-27.453277777777778,23.0,,2014 KA20,18.37,0.15,0.219444565,2.042875,2460159.65650,47.782836,269.44459,14.034406,2460600.5,18.37,,2014 KA20
6132,(2014 QG584),17:49:31.08,-28:18:24.1,-193.,2.E3,2129.,23.0,36.39,-6.456,267.37949999999995,-28.306694444444446,23.0,,2014 QG584,17.87,0.15,0.04264505,2.6386444,2459918.23130,355.24068,275.14115,4.7498833,2460600.5,17.87,,2014 QG584
6133,(2014 SU7),17:48:15.05,-27:07:55.4,-1.E3,6.E3,6461.,23.2,31.14,-4.828,267.0627083333333,-27.132055555555556,23.2,,2014 SU7,17.80,0.15,0.08705522,2.519835,2460350.67110,354.61151,17.266021,3.6080792,2460600.5,17.80,,2014 SU7
6134,(2014 SU431),17:49:14.10,-27:36:48.5,-416.,5.E3,4635.,24.2,49.51,-5.684,267.3087499999999,-27.613472222222224,24.2,,2014 SU431,19.82,0.15,0.196027349,1.8005921,2460522.46810,329.45768,11.441399,3.6984538,2460600.5,19.82,,2014 SU431
6135,(2014 WV185),17:49:37.23,-29:55:08.9,-112.,-4.E3,3686.,22.1,33.65,-13.79,267.40512499999994,-29.91913888888889,22.1,,2014 WV185,16.91,0.15,0.182845424,2.4806492,2461254.55361,37.892778,149.39378,12.546934,2460600.5,16.91,,2014 WV185
6136,(2015 BR345),17:50:47.89,-27:12:29.9,816.,6.E3,6130.,22.7,49.28,-4.671,267.6995416666666,-27.208305555555555,22.7,,2015 BR345,18.48,0.15,0.181060481,1.9679201,2459979.08570,318.83120,227.25032,3.3500341,2460600.5,18.48,,2015 BR345
6137,(2015 DV246),17:49:16.73,-27:31:49.6,-381.,5.E3,4930.,23.2,36.03,-3.418,267.31970833333327,-27.530444444444445,23.2,,2015 DV246,18.28,0.15,0.089228844,2.2166369,2461069.66074,302.84834,184.49424,4.371689,2460600.5,18.28,,2015 DV246
6138,(2015 HE290),17:49:00.66,-28:25:56.2,-592.,2.E3,1771.,22.9,31.29,-3.231,267.25274999999993,-28.432277777777777,22.9,,2015 HE290,17.30,0.15,0.152108574,2.6688925,2459801.04900,303.06891,24.379822,5.7096524,2460600.5,17.30,,2015 HE290
6139,(2015 OJ160),17:48:43.74,-27:27:35.3,-815.,5.E3,5234.,23.8,61.04,-9.46,267.18224999999995,-27.459805555555555,23.8,,2015 OJ160,19.94,0.15,0.129556212,1.8242787,2460533.52390,5.9520455,294.96571,4.3947495,2460600.5,19.94,,2015 OJ160
6140,(2015 PU332),17:48:12.22,-28:47:08.6,-1.E3,396.,1291.,23.6,40.41,-7.73,267.0509166666667,-28.785722222222223,23.6,,2015 PU332,18.67,0.15,0.265229088,1.8863283,2460287.61880,359.03266,349.02395,5.3657693,2460600.5,18.67,,2015 PU332
6141,(2015 RA330),17:49:12.16,-27:51:20.2,-441.,4.E3,3770.,24.3,31.39,-4.894,267.30066666666664,-27.855611111111113,24.3,,2015 RA330,18.90,0.15,0.130847425,2.2829604,2460467.53900,339.92734,42.940165,4.1157797,2460600.5,18.90,,2015 RA330
6142,(2015 TN9),17:48:28.81,-29:27:42.5,-1.E3,-2.E3,2274.,23.5,32.53,-2.225,267.1200416666667,-29.461805555555554,23.5,,2015 TN9,18.20,0.15,0.249101081,1.9425239,2460372.78750,284.09385,85.088002,9.1344452,2460600.5,18.20,,2015 TN9
6143,(2015 TP191),17:50:01.00,-28:27:03.2,200.,2.E3,1614.,23.4,31.69,-6.163,267.5041666666666,-28.450888888888887,23.4,,2015 TP191,18.02,0.15,0.171850169,2.1712316,2460420.20380,358.22800,18.487758,4.9959899,2460600.5,18.02,,2015 TP191
6144,(2015 TP222),17:49:13.70,-27:28:43.4,-421.,5.E3,5118.,23.7,26.93,-6.93,267.3070833333333,-27.47872222222222,23.7,,2015 TP222,18.01,0.15,0.152527403,2.2529523,2460599.77222,34.850289,18.006111,6.8331767,2460600.5,18.01,,2015 TP222
6145,(2015 TU496),17:48:58.05,-27:29:25.7,-627.,5.E3,5098.,23.6,28.56,-6.272,267.24187499999994,-27.490472222222223,23.6,,2015 TU496,18.11,0.15,0.095768856,2.428508,2460732.34220,21.931777,55.641177,5.2783896,2460600.5,18.11,,2015 TU496
6146,(2016 CE416),17:50:11.01,-30:11:01.7,332.,-5.E3,4649.,22.8,63.48,-14.1,267.5458749999999,-30.183805555555555,22.8,,2016 CE416,19.01,0.15,0.170494917,1.8889262,2460229.29040,3.2892613,233.22645,7.1152333,2460600.5,19.01,,2016 CE416
6147,(2016 GK344),17:50:09.34,-27:40:36.2,310.,4.E3,4399.,22.8,57.04,-30.71,267.53891666666664,-27.676722222222224,22.8,,2016 GK344,19.05,0.15,0.053939299,1.819798,2460711.56749,47.083436,270.30138,21.407648,2460600.5,19.05,,2016 GK344
6148,(2016 GX354),17:48:32.69,-29:55:18.3,-960.,-4.E3,3815.,23.8,26.01,-10.05,267.13620833333334,-29.921750000000003,23.8,,2016 GX354,17.95,0.15,0.069804067,2.7478326,2456784.62650,35.234209,23.581355,10.893985,2457482.5,17.95,,2016 GX354
6149,(2016 JW91),17:48:31.48,-28:33:10.0,-975.,1.E3,1574.,24.2,52.26,-12.07,267.1311666666667,-28.552777777777777,24.2,,2016 JW91,19.96,0.15,0.100884011,2.1000697,2457647.89108,19.448960,245.78588,6.9104285,2457510.5,19.96,,2016 JW91
6150,(2016 WS11),17:49:15.81,-27:34:20.1,-393.,5.E3,4781.,24.4,22.98,-5.559,267.31587499999995,-27.57225,24.4,,2016 WS11,18.53,0.15,0.253148834,1.9136689,2460729.68310,22.565836,46.287741,5.345304,2460600.5,18.53,,2016 WS11
6151,(2017 AR67),17:50:53.04,-27:01:44.4,883.,7.E3,6779.,23.2,33.12,-10.53,267.72099999999995,-27.029,23.2,,2017 AR67,17.94,0.15,0.033057635,2.5489398,2460763.07633,49.096284,30.903409,10.970207,2460600.5,17.94,,2017 AR67
